PM2.5,PM10,NO2,SO2,CO,O3,NH3,Temperature,Humidity,WindSpeed,AQI
92.08,137.96,21.3,4.31,0.55,61.49,5.75,23.72,42.22,8.05,270
58.94,97.53,60.52,18.56,1.35,53.61,10.83,35.15,78.11,5.78,229
54.76,100.69,24.31,8.85,0.54,32.96,6.9,22.46,30.08,1.57,179
54.76,89.63,9.89,15.09,1.39,26.74,7.96,45.32,24.93,2.67,169
173.68,284.4,30.63,6.88,1.26,79.1,36.86,25.19,60.18,3.69,500
109.33,155.23,48.22,4.44,0.76,30.41,11.54,18.21,30.5,0.4,350
45.36,97.37,70.75,8.06,2.87,19.54,18.82,19.9,57.28,4.16,237
,187.4,43.78,22.62,1.05,38.29,15.87,27.77,71.85,3.55,324
77.6,100.97,57.02,7.94,5.39,76.25,27.3,28.75,55.43,12.14,327
,19.7,10.3,24.06,0.62,153.64,7.74,26.3,34.78,3.08,142
27.88,54.81,8.7,7.52,1.41,10.92,11.73,22.58,40.14,2.82,77
81.54,106.72,36.43,16.22,1.75,103.4,9.44,39.43,69.75,8.5,289
163.47,266.89,6.98,10.16,0.45,52.26,6.25,24.3,59.94,2.48,441
55.12,101.76,19.79,7.61,0.67,16.23,47.43,24.45,46.6,2.15,178
42.61,72.75,43.11,4.87,0.8,34.6,19.29,11.02,70.04,1.25,184
70.78,141.58,63.57,7.23,1.18,33.17,9.51,18.06,28.88,3.02,278
40.61,68.35,31.73,12.24,0.83,22.61,27.03,37.34,73.02,4.82,145
52.35,75.31,9.44,2.18,1.88,132.16,13.19,22.38,69.74,4.88,237
64.69,140.94,24.46,4.5,0.45,33.29,10.74,35.35,35.24,1.84,206
26.68,40.5,26.75,15.9,0.88,14.32,14.88,22.38,58.13,6.05,117
113.09,220.06,13.14,3.25,1.04,73.59,10.42,21.47,45.7,3.02,357
22.62,32.31,4.92,11.3,0.37,33.54,3.65,28.61,77.54,3.33,91
20.18,32.21,43.81,19.32,1.45,27.46,18.2,29.56,91.73,8.0,125
75.21,127.69,20.25,28.23,1.34,37.49,9.38,17.95,22.2,7.94,243
