date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
09-11-2020,Agartala,1,Satisfactory,67,PM2.5
10-11-2020,Agartala,1,Satisfactory,73,PM2.5
11-11-2020,Agartala,1,Satisfactory,90,PM2.5
12-11-2020,Agartala,1,Satisfactory,75,PM2.5
13-11-2020,Agartala,1,Satisfactory,66,PM2.5
14-11-2020,Agartala,1,Satisfactory,68,PM10
15-11-2020,Agartala,1,Poor,259,PM2.5
16-11-2020,Agartala,1,Moderate,192,PM2.5
17-11-2020,Agartala,1,Moderate,183,PM2.5
18-11-2020,Agartala,1,Moderate,131,PM2.5
19-11-2020,Agartala,1,Moderate,162,PM2.5
20-11-2020,Agartala,1,Moderate,172,PM2.5
21-11-2020,Agartala,1,Poor,206,PM2.5
22-11-2020,Agartala,1,Moderate,166,PM2.5
23-11-2020,Agartala,1,Poor,233,PM2.5
24-11-2020,Agartala,1,Poor,213,PM2.5
25-11-2020,Agartala,1,Moderate,149,PM2.5
26-11-2020,Agartala,1,Moderate,113,PM2.5
27-11-2020,Agartala,1,Moderate,153,PM2.5
28-11-2020,Agartala,1,Moderate,187,PM2.5
29-11-2020,Agartala,1,Moderate,196,PM2.5
30-11-2020,Agartala,1,Moderate,177,PM2.5
01-12-2020,Agartala,1,Poor,221,PM2.5
02-12-2020,Agartala,1,Moderate,193,PM2.5
03-12-2020,Agartala,1,Moderate,187,PM2.5
04-12-2020,Agartala,1,Poor,204,PM2.5
05-12-2020,Agartala,1,Satisfactory,79,PM2.5
06-12-2020,Agartala,1,Moderate,101,PM2.5
07-12-2020,Agartala,1,Satisfactory,100,PM10
08-12-2020,Agartala,1,Satisfactory,91,PM2.5
09-12-2020,Agartala,1,Satisfactory,88,PM2.5
10-12-2020,Agartala,1,Moderate,150,PM2.5
11-12-2020,Agartala,1,Moderate,119,PM2.5
12-12-2020,Agartala,1,Moderate,138,PM2.5
13-12-2020,Agartala,1,Moderate,147,PM2.5
14-12-2020,Agartala,1,Moderate,140,PM2.5
15-12-2020,Agartala,1,Moderate,167,PM2.5
16-12-2020,Agartala,1,Moderate,182,PM2.5
17-12-2020,Agartala,1,Moderate,168,PM2.5
18-12-2020,Agartala,1,Moderate,179,PM2.5
19-12-2020,Agartala,1,Moderate,175,PM2.5
20-12-2020,Agartala,1,Poor,210,PM2.5
21-12-2020,Agartala,1,Moderate,169,PM2.5
22-12-2020,Agartala,1,Moderate,158,PM2.5
23-12-2020,Agartala,1,Moderate,190,PM2.5
24-12-2020,Agartala,1,Moderate,178,PM2.5
25-12-2020,Agartala,1,Satisfactory,94,PM2.5
26-12-2020,Agartala,1,Moderate,133,PM2.5
27-12-2020,Agartala,1,Moderate,158,PM2.5
28-12-2020,Agartala,1,Poor,213,PM2.5
29-12-2020,Agartala,1,Moderate,163,PM2.5
02-01-2021,Agartala,1,Moderate,115,PM2.5
03-01-2021,Agartala,1,Moderate,172,PM2.5
04-01-2021,Agartala,1,Moderate,170,PM2.5
05-01-2021,Agartala,1,Moderate,117,PM2.5
06-01-2021,Agartala,1,Moderate,120,PM2.5
07-01-2021,Agartala,1,Moderate,180,PM2.5
08-01-2021,Agartala,1,Poor,285,PM2.5
09-01-2021,Agartala,1,Very Poor,311,PM2.5
10-01-2021,Agartala,1,Very Poor,326,PM2.5
11-01-2021,Agartala,1,Very Poor,337,PM2.5
12-01-2021,Agartala,1,Poor,205,PM2.5
13-01-2021,Agartala,1,Moderate,156,PM2.5
14-01-2021,Agartala,1,Moderate,192,PM2.5
15-01-2021,Agartala,1,Moderate,129,PM2.5
16-01-2021,Agartala,1,Poor,235,PM2.5
19-01-2021,Agartala,1,Poor,272,PM2.5
20-01-2021,Agartala,1,Poor,253,PM2.5
21-01-2021,Agartala,1,Poor,216,PM2.5
22-01-2021,Agartala,1,Moderate,194,PM2.5
23-01-2021,Agartala,1,Poor,242,PM2.5
24-01-2021,Agartala,1,Poor,246,PM2.5
25-01-2021,Agartala,1,Moderate,120,PM2.5
26-01-2021,Agartala,1,Moderate,195,PM2.5
27-01-2021,Agartala,1,Moderate,189,PM2.5
28-01-2021,Agartala,1,Moderate,159,PM2.5
29-01-2021,Agartala,1,Moderate,188,PM2.5
30-01-2021,Agartala,1,Poor,226,PM2.5
31-01-2021,Agartala,1,Poor,241,PM2.5
01-02-2021,Agartala,1,Poor,226,PM2.5
02-02-2021,Agartala,1,Moderate,138,PM10
03-02-2021,Agartala,1,Poor,210,PM2.5
04-02-2021,Agartala,1,Moderate,180,PM2.5
05-02-2021,Agartala,1,Moderate,132,PM2.5
06-02-2021,Agartala,1,Moderate,112,PM2.5
07-02-2021,Agartala,1,Moderate,124,PM2.5
08-02-2021,Agartala,1,Moderate,133,PM2.5
09-02-2021,Agartala,1,Moderate,147,PM2.5
