date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
01-05-2015,Agra,,Moderate,179,PM10
02-05-2015,Agra,,Moderate,135,PM10
03-05-2015,Agra,,Satisfactory,84,O3
04-05-2015,Agra,,Moderate,104,O3
05-05-2015,Agra,,Satisfactory,88,O3
06-05-2015,Agra,,Satisfactory,91,PM10
07-05-2015,Agra,,Satisfactory,65,PM10
08-05-2015,Agra,,Satisfactory,62,O3
09-05-2015,Agra,,Poor,294,PM10
10-05-2015,Agra,,Satisfactory,56,O3
11-05-2015,Agra,,Satisfactory,78,PM2.5
12-05-2015,Agra,,Moderate,102,PM2.5
13-05-2015,Agra,,Satisfactory,69,PM2.5
14-05-2015,Agra,,Satisfactory,71,PM2.5
15-05-2015,Agra,1,Satisfactory,70,O3
16-05-2015,Agra,1,Satisfactory,87,O3
17-05-2015,Agra,1,Moderate,158,O3
18-05-2015,Agra,1,Satisfactory,93,O3
19-05-2015,Agra,1,Moderate,140,PM2.5
20-05-2015,Agra,1,Satisfactory,76,O3
21-05-2015,Agra,1,Satisfactory,80,PM2.5
22-05-2015,Agra,1,Satisfactory,78,PM2.5
23-05-2015,Agra,1,Moderate,102,PM2.5
27-05-2015,Agra,1,Satisfactory,99,PM2.5
28-05-2015,Agra,1,Moderate,187,PM2.5
29-05-2015,Agra,1,Poor,212,PM2.5
30-05-2015,Agra,1,Satisfactory,92,PM2.5
01-06-2015,Agra,1,Satisfactory,71,PM2.5
02-06-2015,Agra,1,Satisfactory,66,O3
03-06-2015,Agra,1,Satisfactory,66,O3
04-06-2015,Agra,1,Satisfactory,66,O3
05-06-2015,Agra,1,Satisfactory,63,O3
06-06-2015,Agra,1,Moderate,147,PM2.5
07-06-2015,Agra,1,Moderate,127,PM2.5
08-06-2015,Agra,1,Moderate,118,PM2.5
09-06-2015,Agra,1,Moderate,105,PM2.5
10-06-2015,Agra,1,Satisfactory,62,PM2.5
11-06-2015,Agra,1,Good,49,PM2.5
13-06-2015,Agra,1,Satisfactory,61,O3
14-06-2015,Agra,1,Moderate,111,PM2.5
15-06-2015,Agra,1,Satisfactory,73,PM2.5
16-06-2015,Agra,1,Satisfactory,72,O3
17-06-2015,Agra,1,Moderate,145,PM2.5
18-06-2015,Agra,1,Moderate,120,PM2.5
19-06-2015,Agra,1,Moderate,112,PM2.5
20-06-2015,Agra,1,Poor,259,PM2.5
21-06-2015,Agra,1,Good,47,PM2.5
22-06-2015,Agra,1,Good,43,PM2.5
23-06-2015,Agra,1,Satisfactory,51,PM2.5
24-06-2015,Agra,1,Good,46,PM2.5
25-06-2015,Agra,1,Good,29,CO
26-06-2015,Agra,1,Satisfactory,84,PM2.5
27-06-2015,Agra,1,Satisfactory,58,PM2.5
28-06-2015,Agra,1,Satisfactory,69,PM2.5
01-07-2015,Agra,1,Good,42,O3
02-07-2015,Agra,1,Good,48,O3
03-07-2015,Agra,1,Satisfactory,77,PM2.5
04-07-2015,Agra,1,Moderate,107,PM2.5
05-07-2015,Agra,1,Moderate,124,PM2.5
06-07-2015,Agra,1,Poor,229,PM2.5
07-07-2015,Agra,1,Good,37,PM2.5
08-07-2015,Agra,1,Good,46,PM2.5
09-07-2015,Agra,1,Satisfactory,58,PM2.5
10-07-2015,Agra,1,Satisfactory,64,PM2.5
11-07-2015,Agra,1,Satisfactory,81,PM2.5
14-07-2015,Agra,1,Satisfactory,54,PM2.5
15-07-2015,Agra,1,Satisfactory,59,PM2.5
16-07-2015,Agra,1,Satisfactory,96,PM2.5
17-07-2015,Agra,1,Satisfactory,75,PM2.5
18-07-2015,Agra,1,Satisfactory,55,PM2.5
19-07-2015,Agra,1,Good,40,PM2.5
20-07-2015,Agra,1,Good,34,CO
21-07-2015,Agra,1,Satisfactory,88,O3
22-07-2015,Agra,1,Moderate,103,PM2.5
23-07-2015,Agra,1,Good,40,PM2.5
24-07-2015,Agra,1,Good,40,PM2.5
25-07-2015,Agra,1,Satisfactory,59,PM2.5
26-07-2015,Agra,1,Good,19,CO
27-07-2015,Agra,1,Good,26,CO
28-07-2015,Agra,1,Good,24,CO
29-07-2015,Agra,1,Good,28,CO
30-07-2015,Agra,1,Good,32,CO
31-07-2015,Agra,1,Good,34,PM2.5
01-08-2015,Agra,1,Satisfactory,54,PM2.5
02-08-2015,Agra,1,Good,44,PM2.5
03-08-2015,Agra,1,Good,45,PM2.5
04-08-2015,Agra,1,Satisfactory,70,PM2.5
05-08-2015,Agra,1,Poor,262,PM2.5
06-08-2015,Agra,1,Poor,277,PM2.5
07-08-2015,Agra,1,Good,40,PM2.5
08-08-2015,Agra,1,Good,46,PM2.5
09-08-2015,Agra,1,Satisfactory,57,PM2.5
10-08-2015,Agra,1,Good,35,PM2.5
11-08-2015,Agra,1,Moderate,151,PM2.5
12-08-2015,Agra,1,Good,31,CO
13-08-2015,Agra,1,Good,44,PM2.5
14-08-2015,Agra,1,Satisfactory,77,PM2.5
15-08-2015,Agra,1,Good,46,PM2.5
16-08-2015,Agra,1,Good,33,CO
17-08-2015,Agra,1,Good,34,CO
18-08-2015,Agra,1,Good,34,CO
19-08-2015,Agra,1,Good,30,CO
20-08-2015,Agra,1,Good,37,PM2.5
21-08-2015,Agra,1,Satisfactory,54,PM2.5
22-08-2015,Agra,1,Good,49,PM2.5
23-08-2015,Agra,1,Good,43,PM2.5
24-08-2015,Agra,1,Poor,249,PM2.5
25-08-2015,Agra,1,Good,37,PM2.5
26-08-2015,Agra,1,Good,50,PM2.5
27-08-2015,Agra,1,Satisfactory,78,PM2.5
29-08-2015,Agra,1,Satisfactory,70,PM2.5
30-08-2015,Agra,1,Good,50,PM2.5
31-08-2015,Agra,1,Good,48,PM2.5
02-09-2015,Agra,1,Satisfactory,93,PM2.5
03-09-2015,Agra,1,Satisfactory,96,PM2.5
04-09-2015,Agra,1,Satisfactory,93,PM2.5
06-09-2015,Agra,1,Satisfactory,66,PM2.5
07-09-2015,Agra,1,Good,48,PM2.5
08-09-2015,Agra,1,Satisfactory,99,PM2.5
09-09-2015,Agra,1,Satisfactory,58,PM2.5
10-09-2015,Agra,1,Satisfactory,96,PM2.5
11-09-2015,Agra,1,Satisfactory,87,PM2.5
12-09-2015,Agra,1,Moderate,101,PM2.5
13-09-2015,Agra,1,Moderate,174,PM2.5
14-09-2015,Agra,1,Satisfactory,59,PM2.5
15-09-2015,Agra,1,Satisfactory,93,PM2.5
16-09-2015,Agra,1,Severe,404,PM2.5
17-09-2015,Agra,1,Moderate,113,PM2.5
18-09-2015,Agra,1,Good,35,PM2.5
19-09-2015,Agra,1,Satisfactory,67,PM2.5
20-09-2015,Agra,1,Satisfactory,77,PM2.5
21-09-2015,Agra,1,Good,34,PM2.5
22-09-2015,Agra,1,Good,45,PM2.5
23-09-2015,Agra,1,Good,26,PM2.5
24-09-2015,Agra,1,Satisfactory,63,PM2.5
25-09-2015,Agra,1,Satisfactory,69,PM2.5
26-09-2015,Agra,1,Satisfactory,84,PM2.5
