date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
19-03-2020,Aizawl,1,Satisfactory,69,PM2.5
20-03-2020,Aizawl,1,Satisfactory,67,PM2.5
22-03-2020,Aizawl,1,Satisfactory,71,PM2.5
23-03-2020,Aizawl,1,Good,50,PM2.5
24-03-2020,Aizawl,1,Satisfactory,69,PM2.5
25-03-2020,Aizawl,1,Moderate,108,PM2.5
26-03-2020,Aizawl,1,Satisfactory,92,PM2.5
27-03-2020,Aizawl,1,Satisfactory,75,PM2.5
28-03-2020,Aizawl,1,Satisfactory,81,PM2.5
29-03-2020,Aizawl,1,Satisfactory,89,PM2.5
30-03-2020,Aizawl,1,Satisfactory,56,PM2.5
31-03-2020,Aizawl,1,Satisfactory,53,PM2.5
01-04-2020,Aizawl,1,Satisfactory,68,PM2.5
02-04-2020,Aizawl,1,Satisfactory,70,PM2.5
03-04-2020,Aizawl,1,Satisfactory,55,PM2.5
04-04-2020,Aizawl,1,Good,41,PM2.5
05-04-2020,Aizawl,1,Good,43,PM2.5
06-04-2020,Aizawl,1,Good,50,PM2.5
08-04-2020,Aizawl,1,Good,44,PM2.5
11-04-2020,Aizawl,1,Satisfactory,53,PM2.5
12-04-2020,Aizawl,1,Good,39,PM2.5
13-04-2020,Aizawl,1,Good,43,PM2.5
14-04-2020,Aizawl,1,Satisfactory,63,PM2.5
15-04-2020,Aizawl,1,Satisfactory,77,PM2.5
16-04-2020,Aizawl,1,Good,40,PM2.5
17-04-2020,Aizawl,1,Good,28,PM2.5
18-04-2020,Aizawl,1,Good,38,PM2.5
19-04-2020,Aizawl,1,Good,18,PM2.5
20-04-2020,Aizawl,1,Good,18,O3
21-04-2020,Aizawl,1,Good,24,PM10
23-04-2020,Aizawl,1,Good,18,PM2.5
24-04-2020,Aizawl,1,Good,13,PM10
25-04-2020,Aizawl,1,Good,11,CO
26-04-2020,Aizawl,1,Good,9,SO2
27-04-2020,Aizawl,1,Good,13,CO
28-04-2020,Aizawl,1,Good,14,CO
01-05-2020,Aizawl,1,Good,15,CO
02-05-2020,Aizawl,1,Good,18,PM2.5
03-05-2020,Aizawl,1,Good,10,CO
04-05-2020,Aizawl,1,Good,13,CO
05-05-2020,Aizawl,1,Good,15,PM2.5
06-05-2020,Aizawl,1,Good,14,PM2.5
07-05-2020,Aizawl,1,Good,13,CO
08-05-2020,Aizawl,1,Good,19,PM2.5
09-05-2020,Aizawl,1,Good,22,PM2.5
10-05-2020,Aizawl,1,Good,23,PM2.5
11-05-2020,Aizawl,1,Good,37,PM2.5
12-05-2020,Aizawl,1,Good,49,PM2.5
13-05-2020,Aizawl,1,Good,42,PM2.5
14-05-2020,Aizawl,1,Good,33,PM2.5
15-05-2020,Aizawl,1,Good,28,PM2.5
16-05-2020,Aizawl,1,Good,16,PM2.5
17-05-2020,Aizawl,1,Good,20,PM2.5
18-05-2020,Aizawl,1,Good,28,PM2.5
19-05-2020,Aizawl,1,Good,34,PM2.5
20-05-2020,Aizawl,1,Good,19,CO
21-05-2020,Aizawl,1,Good,14,PM2.5
22-05-2020,Aizawl,1,Good,23,PM2.5
23-05-2020,Aizawl,1,Good,22,PM2.5
24-05-2020,Aizawl,1,Good,27,PM2.5
25-05-2020,Aizawl,1,Good,17,PM2.5
02-06-2020,Aizawl,1,Good,15,SO2
03-06-2020,Aizawl,1,Good,15,CO
04-06-2020,Aizawl,1,Good,15,SO2
05-06-2020,Aizawl,1,Good,17,CO
06-06-2020,Aizawl,1,Good,17,SO2
07-06-2020,Aizawl,1,Good,15,SO2
08-06-2020,Aizawl,1,Good,23,CO
09-06-2020,Aizawl,1,Good,18,PM2.5
12-06-2020,Aizawl,1,Good,17,SO2
13-06-2020,Aizawl,1,Good,11,SO2
15-06-2020,Aizawl,1,Good,11,SO2
16-06-2020,Aizawl,1,Good,11,SO2
18-06-2020,Aizawl,1,Good,8,CO
20-06-2020,Aizawl,1,Good,15,PM10
21-06-2020,Aizawl,1,Good,11,PM10
22-06-2020,Aizawl,1,Good,14,CO
23-06-2020,Aizawl,1,Good,12,PM10
24-06-2020,Aizawl,1,Good,27,PM10
25-06-2020,Aizawl,1,Good,33,PM10
26-06-2020,Aizawl,1,Good,11,PM10
28-06-2020,Aizawl,1,Good,6,NH3
29-06-2020,Aizawl,1,Good,9,CO
30-06-2020,Aizawl,1,Good,9,PM10
01-07-2020,Aizawl,1,Good,12,PM10
02-07-2020,Aizawl,1,Good,11,PM10
03-07-2020,Aizawl,1,Good,8,CO
04-07-2020,Aizawl,1,Good,11,PM10
07-07-2020,Aizawl,1,Good,13,PM10
08-07-2020,Aizawl,1,Good,9,PM10
09-07-2020,Aizawl,1,Good,7,NH3
13-07-2020,Aizawl,1,Good,9,NH3
14-07-2020,Aizawl,1,Good,12,CO
16-07-2020,Aizawl,1,Good,11,PM10
18-07-2020,Aizawl,1,Good,10,PM10
21-07-2020,Aizawl,1,Good,10,CO
23-07-2020,Aizawl,1,Good,14,CO
25-07-2020,Aizawl,1,Good,13,PM10
26-07-2020,Aizawl,1,Good,11,PM10
27-07-2020,Aizawl,1,Good,16,CO
29-07-2020,Aizawl,1,Good,12,CO
31-07-2020,Aizawl,1,Good,13,CO
01-08-2020,Aizawl,1,Good,15,CO
02-08-2020,Aizawl,1,Good,11,PM10
03-08-2020,Aizawl,1,Good,20,CO
04-08-2020,Aizawl,1,Good,19,PM10
05-08-2020,Aizawl,1,Good,17,PM10
06-08-2020,Aizawl,1,Good,16,CO
08-08-2020,Aizawl,1,Satisfactory,77,NH3
09-08-2020,Aizawl,1,Good,37,NH3
10-08-2020,Aizawl,1,Good,36,NH3
11-08-2020,Aizawl,1,Good,43,NH3
12-08-2020,Aizawl,1,Good,22,NH3
13-08-2020,Aizawl,1,Good,16,CO
14-08-2020,Aizawl,1,Good,14,CO
22-08-2020,Aizawl,1,Good,13,SO2
23-08-2020,Aizawl,1,Good,14,SO2
24-08-2020,Aizawl,1,Good,18,CO
25-08-2020,Aizawl,1,Good,15,SO2
26-08-2020,Aizawl,1,Good,15,SO2
27-08-2020,Aizawl,1,Good,15,SO2
28-08-2020,Aizawl,1,Good,19,PM10
01-09-2020,Aizawl,1,Good,18,CO
02-09-2020,Aizawl,1,Good,16,SO2
03-09-2020,Aizawl,1,Good,17,CO
