date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
24-12-2022,Byrnihat,1,Severe,413,PM2.5
25-12-2022,Byrnihat,1,Very Poor,382,PM2.5
26-12-2022,Byrnihat,1,Very Poor,391,PM2.5
27-12-2022,Byrnihat,1,Very Poor,377,PM2.5
29-12-2022,Byrnihat,1,Very Poor,337,PM2.5
31-12-2022,Byrnihat,1,Very Poor,362,PM2.5
01-01-2023,Byrnihat,1,Very Poor,387,PM2.5
02-01-2023,Byrnihat,1,Very Poor,368,PM2.5
03-01-2023,Byrnihat,1,Very Poor,333,PM2.5
04-01-2023,Byrnihat,1,Very Poor,346,PM2.5
05-01-2023,Byrnihat,1,Very Poor,367,PM2.5
07-01-2023,Byrnihat,1,Very Poor,347,PM2.5
08-01-2023,Byrnihat,1,Very Poor,383,PM2.5
09-01-2023,Byrnihat,1,Very Poor,382,PM2.5
10-01-2023,Byrnihat,1,Very Poor,371,PM2.5
12-01-2023,Byrnihat,1,Very Poor,360,PM10
13-01-2023,Byrnihat,1,Very Poor,372,PM2.5
14-01-2023,Byrnihat,1,Severe,427,PM2.5
15-01-2023,Byrnihat,1,Severe,442,PM2.5
16-01-2023,Byrnihat,1,Severe,420,PM2.5
17-01-2023,Byrnihat,1,Severe,410,PM2.5
18-01-2023,Byrnihat,1,Severe,415,PM2.5
19-01-2023,Byrnihat,1,Severe,417,PM2.5
20-01-2023,Byrnihat,1,Very Poor,394,PM2.5
22-01-2023,Byrnihat,1,Very Poor,355,PM2.5
23-01-2023,Byrnihat,1,Very Poor,373,PM2.5
24-01-2023,Byrnihat,1,Very Poor,377,PM2.5
25-01-2023,Byrnihat,1,Very Poor,381,PM2.5
26-01-2023,Byrnihat,1,Very Poor,368,PM2.5
27-01-2023,Byrnihat,1,Very Poor,370,PM2.5
28-01-2023,Byrnihat,1,Very Poor,351,PM2.5
29-01-2023,Byrnihat,1,Very Poor,381,PM2.5
30-01-2023,Byrnihat,1,Severe,426,PM2.5
01-02-2023,Byrnihat,1,Severe,402,PM2.5
02-02-2023,Byrnihat,1,Very Poor,394,PM2.5
03-02-2023,Byrnihat,1,Very Poor,398,PM2.5
04-02-2023,Byrnihat,1,Very Poor,365,PM2.5
05-02-2023,Byrnihat,1,Severe,414,PM2.5
06-02-2023,Byrnihat,1,Very Poor,392,PM2.5
07-02-2023,Byrnihat,1,Very Poor,366,PM2.5
08-02-2023,Byrnihat,1,Very Poor,389,PM2.5
09-02-2023,Byrnihat,1,Very Poor,372,PM10
10-02-2023,Byrnihat,1,Poor,293,PM2.5
11-02-2023,Byrnihat,1,Very Poor,337,PM2.5
12-02-2023,Byrnihat,1,Very Poor,365,PM2.5
13-02-2023,Byrnihat,1,Very Poor,333,PM2.5
14-02-2023,Byrnihat,1,Very Poor,310,PM10
15-02-2023,Byrnihat,1,Poor,296,PM2.5
16-02-2023,Byrnihat,1,Very Poor,349,PM2.5
17-02-2023,Byrnihat,1,Very Poor,368,PM2.5
21-02-2023,Byrnihat,1,Severe,424,PM10
03-03-2023,Byrnihat,1,Very Poor,324,PM2.5
05-03-2023,Byrnihat,1,Very Poor,310,PM10
06-03-2023,Byrnihat,1,Very Poor,366,PM2.5
07-03-2023,Byrnihat,1,Poor,282,PM2.5
08-03-2023,Byrnihat,1,Very Poor,335,PM10
09-03-2023,Byrnihat,1,Poor,253,PM2.5
10-03-2023,Byrnihat,1,Very Poor,319,PM2.5
12-03-2023,Byrnihat,1,Very Poor,360,PM2.5
14-03-2023,Byrnihat,1,Very Poor,349,PM2.5
19-03-2023,Byrnihat,1,Poor,248,PM2.5
24-03-2023,Byrnihat,1,Moderate,179,PM10
25-03-2023,Byrnihat,1,Poor,295,PM2.5
26-03-2023,Byrnihat,1,Poor,275,PM2.5
27-03-2023,Byrnihat,1,Moderate,162,PM2.5
28-03-2023,Byrnihat,1,Poor,289,PM2.5
05-04-2023,Byrnihat,1,Satisfactory,55,PM2.5
06-04-2023,Byrnihat,1,Moderate,190,PM2.5
07-04-2023,Byrnihat,1,Poor,243,PM2.5
08-04-2023,Byrnihat,1,Poor,271,PM2.5
09-04-2023,Byrnihat,1,Very Poor,320,PM2.5
10-04-2023,Byrnihat,1,Very Poor,332,PM2.5
11-04-2023,Byrnihat,1,Very Poor,374,PM2.5
12-04-2023,Byrnihat,1,Very Poor,383,PM2.5
14-04-2023,Byrnihat,1,Very Poor,396,PM2.5
16-04-2023,Byrnihat,1,Very Poor,389,PM2.5
17-04-2023,Byrnihat,1,Very Poor,370,PM2.5
18-04-2023,Byrnihat,1,Very Poor,363,PM2.5
19-04-2023,Byrnihat,1,Poor,279,PM2.5
20-04-2023,Byrnihat,1,Moderate,164,PM10
21-04-2023,Byrnihat,1,Satisfactory,81,PM2.5
22-04-2023,Byrnihat,1,Moderate,149,PM10
23-04-2023,Byrnihat,1,Poor,256,PM10
24-04-2023,Byrnihat,1,Satisfactory,98,PM10
25-04-2023,Byrnihat,1,Poor,225,PM10
26-04-2023,Byrnihat,1,Poor,270,PM2.5
29-04-2023,Byrnihat,1,Moderate,157,PM10
30-04-2023,Byrnihat,1,Satisfactory,86,PM10
01-05-2023,Byrnihat,1,Moderate,103,PM2.5
02-05-2023,Byrnihat,1,Poor,281,PM2.5
03-05-2023,Byrnihat,1,Poor,266,PM2.5
04-05-2023,Byrnihat,1,Very Poor,324,PM2.5
06-05-2023,Byrnihat,1,Poor,237,PM2.5
07-05-2023,Byrnihat,1,Moderate,196,PM10
09-05-2023,Byrnihat,1,Moderate,186,PM2.5
