date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
22-01-2019,Fatehabad,1,Moderate,160,PM2.5
24-01-2019,Fatehabad,1,Moderate,188,PM2.5
26-01-2019,Fatehabad,1,Poor,246,PM2.5
27-01-2019,Fatehabad,1,Poor,254,PM2.5
28-01-2019,Fatehabad,1,Moderate,199,PM2.5
30-01-2019,Fatehabad,1,Poor,269,PM2.5
31-01-2019,Fatehabad,1,Poor,265,PM2.5
01-02-2019,Fatehabad,1,Very Poor,324,PM2.5
07-02-2019,Fatehabad,1,Moderate,178,PM2.5
08-02-2019,Fatehabad,1,Moderate,122,PM10
09-02-2019,Fatehabad,1,Moderate,125,PM10
10-02-2019,Fatehabad,1,Moderate,144,PM10
11-02-2019,Fatehabad,1,Moderate,182,PM10
12-02-2019,Fatehabad,1,Moderate,154,PM2.5
13-02-2019,Fatehabad,1,Moderate,191,PM2.5
14-02-2019,Fatehabad,1,Poor,209,PM2.5
15-02-2019,Fatehabad,1,Moderate,134,PM10
16-02-2019,Fatehabad,1,Satisfactory,99,PM10
17-02-2019,Fatehabad,1,Moderate,126,PM10
18-02-2019,Fatehabad,1,Moderate,126,PM10
19-02-2019,Fatehabad,1,Satisfactory,84,PM10
20-02-2019,Fatehabad,1,Moderate,130,PM10
21-02-2019,Fatehabad,1,Moderate,103,PM10
22-02-2019,Fatehabad,1,Satisfactory,93,PM10
23-02-2019,Fatehabad,1,Moderate,102,PM10
24-02-2019,Fatehabad,1,Moderate,123,PM10
25-02-2019,Fatehabad,1,Moderate,115,PM10
26-02-2019,Fatehabad,1,Satisfactory,84,OZONE
27-02-2019,Fatehabad,1,Satisfactory,78,PM10
28-02-2019,Fatehabad,1,Moderate,160,PM2.5
01-03-2019,Fatehabad,1,Moderate,157,PM2.5
02-03-2019,Fatehabad,1,Moderate,142,PM2.5
03-03-2019,Fatehabad,1,Moderate,119,PM2.5
04-03-2019,Fatehabad,1,Satisfactory,85,PM2.5
05-03-2019,Fatehabad,1,Moderate,113,PM2.5
06-03-2019,Fatehabad,1,Moderate,104,PM2.5
07-03-2019,Fatehabad,1,Moderate,170,PM2.5
08-03-2019,Fatehabad,1,Satisfactory,81,PM10
09-03-2019,Fatehabad,1,Moderate,109,PM10
10-03-2019,Fatehabad,1,Moderate,126,PM10
12-03-2019,Fatehabad,1,Moderate,123,PM10
13-03-2019,Fatehabad,1,Moderate,177,PM10
14-03-2019,Fatehabad,1,Moderate,142,PM10
15-03-2019,Fatehabad,1,Satisfactory,97,PM10
16-03-2019,Fatehabad,1,Moderate,122,PM10
17-03-2019,Fatehabad,1,Moderate,135,PM10
18-03-2019,Fatehabad,1,Moderate,165,OZONE
19-03-2019,Fatehabad,1,Moderate,148,PM10
20-03-2019,Fatehabad,1,Moderate,141,PM10
21-03-2019,Fatehabad,1,Moderate,112,PM10
